Model,Accuracy,Precision,Recall,F1-Score,Params (M),FPS,Latency (ms)
EfficientNet-B0,0.9787706855791962,0.968102135405733,0.9722021721109095,0.9700068150767268,4.09,227.29141806776195,4.3996381759643555
EfficientNet-B1,0.9785815602836879,0.9667690392041138,0.9690271265276965,0.9673892193309082,6.59,141.6054066792124,7.061877250671387
EfficientNet-B2,0.9804255319148936,0.9700952101316298,0.973519805617415,0.9716616596257498,7.79,146.22053925461518,6.838984489440918
EfficientNetV2-S,0.8683621469733771,0.8856348473787649,0.8683621469733771,0.8678277772918656,20.255629,104.17049143847184,9.599647521972656
FasterNet-T0,0.9713947990543735,0.9599011539434066,0.9557307341994447,0.9563919023445636,2.70,388.4686700589607,2.5742101669311523
FasterNet-T1,0.9739952718676123,0.9644551692803559,0.9577722139725925,0.9594683871834375,6.39,348.38379576255136,2.8703975677490234
MobileNetV3-Small,0.952387706855792,0.9522662891996759,0.935480614443768,0.9403644523900018,1.58,273.41876452880075,3.657393455505371
ResNet-34,0.956501182033097,0.9394724976742079,0.9355729599278838,0.9322300398065826,21.32,354.3827394149138,2.821807861328125
ResNet-50,0.9542316784869976,0.9363052170978216,0.9348319557396779,0.9298377474506833,23.63,265.74989387248223,3.762936592102051
Swin-transformer-Tiny,0.9577304964539007,0.9485056524414864,0.936944048891297,0.9376733386739283,27.57,97.80726137131046,10.224189758300781

