Test,Subject,Shot,Model,Accuracy
Test1,STEM,0,ChatGLM3_6B,43.69
Test1,Humanities,0,ChatGLM3_6B,56.11
Test1,Social Science,0,ChatGLM3_6B,57.37
Test1,Other,0,ChatGLM3_6B,55.86
Test1,China specific,0,ChatGLM3_6B,55.07
Test1,Overall,0,ChatGLM3_6B,53.32
Test1,STEM,0,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),43.4
Test1,Humanities,0,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),56.21
Test1,Social Science,0,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),55.66
Test1,Other,0,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),55.34
Test1,China specific,0,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),54.44
Test1,Overall,0,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),52.58
Test1,STEM,0,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),44.08
Test1,Humanities,0,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),56.4
Test1,Social Science,0,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),55.39
Test1,Other,0,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),55.36
Test1,China specific,0,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),54.27
Test1,Overall,0,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),52.71
Test1,STEM,0,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),43.69
Test1,Humanities,0,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),56.66
Test1,Social Science,0,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),56.07
Test1,Other,0,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),55.5
Test1,China specific,0,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),53.74
Test1,Overall,0,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),52.91
Test1,STEM,0,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),43.31
Test1,Humanities,0,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),57.6
Test1,Social Science,0,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),56.46
Test1,Other,0,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),55.39
Test1,China specific,0,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),55.08
Test1,Overall,0,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),53.1
