Model,Self-BLEU
ChatGLM3_6B,0.050483294
Freeze10,0.089106448
Freeze10-MTL(S2.5K+G1.25K),0.1020389
Freeze10-MTL(S2.5K+G10K),0.150953902
Freeze10-MTL(S2.5K+G2.5K),0.111880196
Freeze10-MTL(S2.5K+G20K),0.159165431
Freeze10-MTL(S2.5K+G5K),0.137421194
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),0.10807512
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),0.127028737
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),0.095166078
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),0.112973052
Freeze10(S2.5K)-DMT(S2.5K+G5K),0.12192183
Freeze15,0.106113806
Freeze20,0.106010528
Freeze3,0.078676578
Freeze30,0.123718121
Freeze5,0.060577587
Lora10,0.081912774
Lora15,0.059299339
Lora20,0.054113279
Lora3,0.08261989
Lora30,0.03614554
Lora5,0.09066006
