Crop,Model,BLEU-4(‰),Average ROUGE F-score(‰)
apple,ChatGLM3_6B,91.36,137.43
apple,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),210.21,215.84
apple,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),288.2,273.22
apple,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),321.67,308.03
apple,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),407.69,384.22
apple,Freeze10(S2.5K)-DMT(S2.5K+G5K),421.43,383.37
apple,Freeze10-MTL(S2.5K+G1.25K),349.41,332.98
apple,Freeze10-MTL(S2.5K+G10K),380.83,366.07
apple,Freeze10-MTL(S2.5K+G2.5K),351.39,327.14
apple,Freeze10-MTL(S2.5K+G20K),366.71,339.95
apple,Freeze10-MTL(S2.5K+G5K),359.56,344.85
apple,Freeze10,344.33,327.29
apple,Freeze15,376.44,362.02
apple,Freeze20,404.43,385.15
apple,Freeze3,167.46,187.8
apple,Freeze30,398.5,384.08
apple,Freeze5,196.01,205.53
apple,Lora10,167.98,178.58
apple,Lora15,166.84,178.18
apple,Lora20,180.32,193.87
apple,Lora3,129.36,161.47
apple,Lora30,179.8,188.4
apple,Lora5,137.64,165.3
cherry,ChatGLM3_6B,85.33,160.0
cherry,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),207.34,226.63
cherry,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),304.81,305.03
cherry,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),352.59,362.01
cherry,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),418.49,418.28
cherry,Freeze10(S2.5K)-DMT(S2.5K+G5K),409.8,418.85
cherry,Freeze10-MTL(S2.5K+G1.25K),320.93,334.19
cherry,Freeze10-MTL(S2.5K+G10K),368.45,378.3
cherry,Freeze10-MTL(S2.5K+G2.5K),366.82,375.71
cherry,Freeze10-MTL(S2.5K+G20K),365.82,381.85
cherry,Freeze10-MTL(S2.5K+G5K),355.99,356.5
cherry,Freeze10,295.86,314.74
cherry,Freeze15,394.62,394.06
cherry,Freeze20,372.71,355.73
cherry,Freeze3,147.9,193.32
cherry,Freeze30,417.95,421.3
cherry,Freeze5,202.76,230.65
cherry,Lora10,186.25,215.03
cherry,Lora15,206.78,234.29
cherry,Lora20,204.97,227.77
cherry,Lora3,126.61,186.48
cherry,Lora30,193.82,217.13
cherry,Lora5,142.99,187.29
