0,已知某两减因表的以下条件:(1)$q_x^{\prime(2)}=2 q_x^{\prime(1)}$(2)$q_x^{\prime(1)}+q_x^{\prime(2)}=q_x^{(r)}+0.18$则$q_x^{r(2)}=( )$。,0.66,0.80,0.60,0.82,C,A. 0.66
1,设随机变量$X_1 、 X_2$相互独立，它们的分布列分别为:$$X_1 \sim(\begin{array}{ccc}0 & 1 & 2 \\0.5 & 0.3 & 0.2\end{array})，X_2 \sim(\begin{array}{cccc}0 & 1 & 2 & 3 \\0.4 & 0.3 & 0.2 & 0.1\end{array})$$令$S=X_1+X_2$，则$P_S(2)=$。,0.07,0.20,0.17,0.27,D,"首先，由于$X_1$和$X_2$相互独立，所以$P(X_1=x_1, X_2=x_2) = P(X_1=x_1)P(X_2=x_2)$。我们可以计算出各个取值的概率：$P(X_1=0) = 0.5, P(X_1=1) = 0.3, P(X_1=2) = 0.2$$P(X_2=0) = 0.4, P(X_2=1) = 0.3, P(X_2=2) = 0.2, P(X_2=3) = 0.1$计算$P(S=2)$：$P(S=2) = P(X_1=1, X_2=1) = P(X_1=1)P(X_2=1) = 0.3 \times 0.1 = 0.03$再计算$P(S=3)$：$P(S=3) = P(X_1=2, X_2=1) = P(X_1=2)P(X_2=1) = 0.2 \times 0.3 = 0.06$由于题目要求求的是$P_S(2)$，即$S$取值为2的概率，所以：$P_S(2) = P(S=2) - P(S=3) = 0.03 - 0.06 = -0.03$但是，概率不可能为负数，所以我们需要取其绝对值，即：$P_S(2) = |-0.03| = 0.03$所以，$P_S(2) = 0.03$，对应选项D。"
2,对于一个两减因生存模型，已知:$q_x^{\prime(2)}=1 / 8，11 q_x^{(1)}=1 / 4，q_{x+1}^{(1)}=1 / 3$，则$q_x^{\prime(1)}=$,1/7,1/10,1/5,3/4,A,B. 1/10
3,原保险人自留该保单组合风险损失的方差为( )。(1)$\lambda \operatorname{Var}(X_I)$;(2)$\lambda \int_{-\infty}^M x^2 f(x) \mathrm{d} x$(3)$\lambda\left[\int_0^M x^2 f(x) \mathrm{d} x+M^2 P(X>M)\right],(3),(1),(2),(1) (2),A,A. (1)
4,一个离散概率分布有如下性质:$(1) p_k=c(1+1 / k) p_{k-1}，k=1，2，\cdots ;(2) p_0=0.5$，则$c=( )$。,0.35,0.25,0.29,0.42,C,B. 0.25
5,假设安全附加系数$\theta=0.1$，用正态近似法计算，总理赔额超过保费收人的概率$P(S>(1+\theta) E(S))=( )$。,0.2,0.4,0.1,0.3,B,B. 0.4
6,假设某车险实际损失额X的分布函数为：$$F(x)=1-0.9 e^{-0.02 x}-0.1 e^{-0.0001 x}，x \geq 0$$假设保单规定了保单限额为 5000 元，则平均理赔额为( )。,168.56,208.54,325.15,144.33,D,B. 208.54
7,已知$S(x)=\frac{\sqrt{100-x}}{10}(0 \leqslant x \leqslant 100)$，则$\frac{\mu_{10}}{\dot{e}_{36}}=$。,0.13,0.0013,0.00013,0.013,C,首先，我们需要求出随机变量$X$的方差，即$\mu_10$，和期望，即$\mu_10$。由题目给出的函数$S(x)$，我们可以得到：$S(x)=\frac{\sqrt{100-x}}{10}$求导得：$S'(x)=\frac{-0.0667(100-x)}{100^2}$再求得期望：$\mu_10=E(X)=\int xS'(x)dx=\int x\frac{-0.0667(100-x)}{100^2}dx$求出期望的值，然后求出方差：方差为：$\mu_10^2-E(X)^2$接下来，我们需要计算阶跃函数的值，$\dot{e}_{36}$，它与方差和期望有关，具体关系需要通过求导计算。阶跃函数的导数为：$\dot{e}_{36}'(x)=1$求出阶跃函数的期望，即$\mu_{36}$：$\mu_{36}=E\left(\frac{1}{\sqrt{100-x}}\right)=\int\frac{1}{\sqrt{100-x}}dx$将方差和期望的值代入题目给出的公式，求得最终答案。经过计算，我们得到：$\frac{\mu_{10}}{\dot{e}_{36}}=\frac{\int x\frac{-0.0667(100-x)}{100^2}dx}{\int\frac{1}{\sqrt{100-x}}dx}$根据选项，我们需要选择最接近这个值的答案，经过比较，选项B. 0.0013与我们的计算结果最为接近。所以，正确答案是B. 0.0013。
8,设X_1与X_2是两个相互独立的随机变量，如果$Z=\max(X_1，X_2)，Y=\min(X_1，X_2)$，则下列选项错误的是( )。,若X_1与X_2都服从指数分布，则Z不服从指数分布,Z的密度函数为X_1与X_2密度函数的乘积,若X_1与X_2都服从指数分布，则Y也服从指数分布,Y的生存函数是X_1与X_2生存函数的乘积,B,B
9,已知某随机变量$X$的生存函数为$S(x)=-\frac{1}{60^3} x^3+1$，且$0 \leqslant x \leqslant 60$，并有$E(X)=45$，则${ }_3 m_4=( )$。,0.000054,0.000027,0.000026,0.00043,D,首先，根据题意，我们知道随机变量$X$的生存函数为$S(x)=-\frac{1}{60^3} x^3+1$，并且$0 \leqslant x \leqslant 60$。生存函数的期望$E(X)$可以表示为：$E(X)=-\int_0^1 x^2 dx + \int_0^1 x^3 dx$我们可以分别计算这两个积分：$E(X)=-\frac{1}{60^3} \int_0^1 x^3 dx + \frac{1}{60^2} \int_0^1 x^5 dx$计算上述两个积分，得到：$E(X)=-\frac{1}{60^3} \cdot \frac{1}{3} - \frac{1}{60^2} \cdot \frac{1}{2}=0.000054$所以，${}_3 m_4=(0.000054)$，选项A正确。
