0,设 A，B 为n阶矩阵， 则 $|-2(\begin{array}{cc}A^T & O \\ O & B^{-1}\end{array})|$ 等于(),$-2|A^T||B|$,$(-2)^{2n}|A||B|^{-1}$,$(-2)^n|A||B|^{-1}$,$-2|A||B|^{-1}$,B,首先，根据矩阵的转置性质，我们有：-2(A^T) = -2(A(A^T))^T = -2|A|^2I，其中I是n阶单位矩阵。然后，我们计算矩阵的逆的模长：|B^-1| = 1 / |B|。将这两个结果相乘，并考虑到矩阵的行列式性质，我们有：|-2(A^T)(B^-1)| = |-2| * |A^T * B^-1| = 2 * |A^T * B^-1|。由于 |A^T * B^-1| = |A| * |B^-1|，我们得到：|-2(A^T)(B^-1)| = 2 * |A| * |B^-1| = 2 * |A| * |B|^-1。因此，答案是：D. $-2|A||B|^{-1}$。
1,设函数 $f(x)=\frac{1}{e^{\frac{x}{x-1}}-1}$， 则 ( ),$x=0， x=1$ 都是 $f(x)$ 的第一类间断点;,$x=0$ 是 $f(x)$ 的第一类间断点， $x=1$ 是 $f(x)$ 的第二类间断点;,$x=0， x=1$ 都是 $f(x)$ 的第二类间断点;,$x=0$ 是 $f(x)$ 的第二类间断点， $x=1$ 是 $f(x)$ 的第一类间断点,D,首先分析函数$f(x)$在$x=0$和$x=1$的极限：$f(0+) = \frac{1}{e^{\frac{0}{0-1}}-1} = \frac{1}{e^0-1} = \frac{1}{-1} = -1$，$f(0-) = \frac{1}{e^{\frac{0}{0-1}}-1} = \frac{1}{e^0-1} = \frac{1}{-1} = -1$，$f(1+) = \frac{1}{e^{\frac{1}{1-1}}-1} = \frac{1}{e^1-1} = \frac{1}{1-1} = 1$，$f(1-) = \frac{1}{e^{\frac{1}{1-1}}-1} = \frac{1}{e^1-1} = \frac{1}{1-1} = 1$，由以上可知，$x=0$和$x=1$都是$f(x)$的间断点，但$x=0$是第一类间断点，$x=1$是第二类间断点，所以选项B正确。
2,下列各对函数中， ( ) 是相同的.,$f(x)=\ln x^3，g(x)=3 \ln x$,$f(x)=\ln x^2， g(x)=2 \ln x$,$f(x)=\sqrt{x^2}， g(x)=x$,$f(x)=\frac{x^2-1}{x+1}， g(x)=x-1$,A,正确答案是：B. $f(x)=\ln x^2， g(x)=2 \ln x$
3,微分方程 $y^{\prime \prime}+2 y^{\prime}+2 y=\mathrm{e}^{-x} \sin x$ 的特解形式为 ( ).,$\mathrm{e}^{-x}(a \cos x+b \sin x)$,$\mathrm{e}^{-x}(a \cos x+b x \sin x)$,$\mathrm{e}^{-x}(a x \cos x+b \sin x)$,$x \mathrm{e}^{-x}(a \cos x+b \sin x)$,D,首先，我们需要找到一个形如$y(x)=e^{-x}(ax\cos x+b\sin x)$的函数，其导数满足给定的微分方程。对$y(x)=e^{-x}(ax\cos x+b\sin x)$求导，得到：$y'(x)=e^{-x}(a\cos x-b\sin x)+e^{-x}(-ax\sin x+b\cos x)$将上述结果代入原微分方程，得到：$e^{-x}(a\cos x-b\sin x)+e^{-x}(-ax\sin x+b\cos x)=e^{-x}\sin x$化简得：$a\cos x-b\sin x-ax\sin x+b\cos x=e^{-x}\sin x$合并同类项，得到：$(-a-b)x\sin x+(b-a)x\cos x=e^{-x}\sin x$比较系数，得到：$a-b=1$$b-a=0$解得：$a=2$$b=1$因此，特解的形式为：$y(x)=e^{-x}(2x\cos x+x\sin x)$与选项进行比对，发现选项C与我们的结果一致，所以答案是C。
4,设A为n阶方阵， 且 $|A| \neq 0$， 则（）.,以上都不对,由AX=BA， 可得X=B,当$(A，E)$经有限次初等变换变为$(E，B)$时， 有$A^{-1}=B$,A经初等列变换可变为单位阵$E$,D,答案是：C. 当$(A，E)$经有限次初等变换变为$(E，B)$时， 有$A^{-1}=B$。
5,阶行列式 $D_4=\left|\begin{array}{cccc}a_1 & 0 & 0 & b_1 \\ 0 & a_2 & b_2 & 0 \\ 0 & b_3 & a_3 & 0 \\ b_4 & 0 & 0 & a_4\end{array}\right|$ 的值等于 ( ).,$\left(a_1 a_2-b_1 b_2\right)\left(a_3 a_4-b_3 b_4\right)$;,$\left(a_2 a_3-b_2 b_3\right)\left(a_1 a_4-b_1 b_4\right)$.,$a_1 a_2 a_3 a_4+b_1 b_2 b_3 b_4$;,$a_1 a_2 a_3 a_4-b_1 b_2 b_3 b_4$;,B,首先，我们计算阶行列式的值：$D_4=\left|\begin{array}{cccc}a_1 & 0 & 0 & b_1 \\ 0 & a_2 & b_2 & 0 \\ 0 & b_3 & a_3 & 0 \\ b_4 & 0 & 0 & a_4\end{array}\right|$$D_4=a_1 a_2 a_3 a_4 - b_1 b_2 b_3 b_4$将选项代入计算：A. $\left(a_1 a_2-b_1 b_2\right)\left(a_3 a_4-b_3 b_4\right)$B. $\left(a_2 a_3-b_2 b_3\right)\left(a_1 a_4-b_1 b_4\right)$C. $a_1 a_2 a_3 a_4+b_1 b_2 b_3 b_4$D. $a_1 a_2 a_3 a_4-b_1 b_2 b_3 b_4$经过计算，我们发现选项D与我们的结果相匹配，即：$D_4=a_1 a_2 a_3 a_4 - b_1 b_2 b_3 b_4$所以，答案是选项D。
6,函数 $f(x)=\frac{x-x^3}{\sin \pi x}$ 的可去间断点个数为（）,2,无穷多个,1,3,D,B. 无穷多个。解析：要确定函数的间断点，我们需要找出使得 $\sin \pi x$ 不连续的 $x$ 值，即 $\sin \pi x$ 等于 0 的点。这些点是函数的间断点。然而，$\sin \pi x$ 在 $x=0$ 处不连续，但并不意味着 $f(x)$ 在 $x=0$ 处不可导，因为我们可以继续向左或向右定义函数，所以在 $x=0$ 处，函数仍然是可导的。因此，函数在 $x=0$ 处有一个可去间断点。对于其他 $x$ 值，$\sin \pi x$ 是一个连续的函数，所以函数 $f(x)$ 在这些点上也是连续的，没有其他的可去间断点。因此，函数有无穷多个可去间断点。
7,设 $A，B$ 为随机事件， $P(A)=P(B)=\frac{3}{4}$， 则 $P(A-B)=\frac{1}{4}$ 成立的一个充分条 件为 ( ),$A=B$,$A B=\varnothing$,$A， B$ 相互独立,$A \bigcup B=\Omega$,D,C. $A$ 和 $B$ 相互独立。
8,设 $A，B$ 为n阶非零矩阵， 且AB=0$. 则A和B的秩,一个小于n，一个等于n,都小于n,都等于n,必有一个等于零,B,C. 都等于n
9,具有特解 $y_1=e^{-x}， y_2=2xe^{-x}， y_3=3e^x$ 的三阶常系数齐次线性方程是 () .,$y'''-2y''-y'+2y=0$,$y'''+y''-y'-y=0$,$y'''-y''-y'+y=0$,$y'''-6y''+11y'-6y=0$,B,首先，根据题目的条件，我们知道这是一个三阶常系数齐次线性方程，所以它的形式为：$Ay^3+By^2+Cy+D=0$。我们分别将三个给定的特解代入此方程，得到三个等式：1) $A-B+C+D=0$2) $B-2A+C+D=0$3) $C+3A+D=0$然后，我们通过求解这三个等式，得到：$A=1$，$B=-1$，$C=0$，$D=0$。所以，新的方程为：$y^3-y^2-y=0$。最后，我们比较这个方程与选项，发现选项C与它相符，所以答案是C。
10,设 $n$ 维向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m(m<n)$ 线性无关， 则 $n$ 维列向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 线性无关的充分必要条件为( ),向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 可由向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 线性表示.,向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 与向量组 ${\beta}_1，{\beta}_2， \cdots， {\beta}_m$ 等价,矩阵 $A=({\alpha}_1，\cdots，{\alpha}_m)$ 与矩阵 $B=({\beta}_1，\cdots，{\beta}_m)$ 等价,向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 可由向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 线性表示.,C,D. 向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 可由向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 线性表示.
11,将一枚硬币独立的掷两次， 引进事件: $A_1={第一次出现正面}， A_2={第二次出现正面}， A_3={正、反面各出现一次}， A_4={出现两次正面}， 则事件,$A_1， A_2， A_3$ 相互独立,$A_1， A_2， A_3$ 两两独立,$A_2， A_3， A_4$ 两两独立,$A_2， A_3， A_4$ 相互独立,B,B. $A_1， A_2， A_3$ 两两独立
12,函数 $f(x， y)=\left\{\begin{array}{lc}0， & x y=0， \\ x \sin \frac{1}{x}+y \sin \frac{1}{x}， & x y \neq 0，\end{array}\right.$ 则极限 $\lim _{\substack{x \rightarrow 0 \\ y \rightarrow 0}} f(x， y)()$.,等于 1,等于 0,等于 2,不存在,B,B. 等于 0
