0,一般认为，望远镜是荷兰的商人发明的，而首位将望远镜用于天文观测的人是,哥白尼,牛顿,开普勒,伽利略,D,D. 伽利略
1,仙女星系M31未来会与银河系合为一体，预计汇合的时间约为,4000万年,400万年,400亿年,40亿年,D,C. 400亿年。
2,太阳的绝对星等是,8.6,-26.8,0,4.8,D,C. 0
3,110个梅西叶天体中，半数以上是,星云,星团,超新星遗迹,星系,B,A. 星云
4,在地球上观测周年日行迹的形状很像,1,0,8,S,C,A. 1
5,以下关于月球的事实哪个最有可能是巧合,月球总是固定的一面朝向地球,在地球上观测月球和太阳看上去差不多大,月球背面的环形山比正面多,月球公转轨道和地球的公转轨道面夹角很小,B,A. 月球总是固定的一面朝向地球
6,天狼星的绝对星等为1.5等，太阳的绝对星等与天狼星的绝对星等差（）等,1.5,7.1,-25.3,3.3,D,B. 7.1
7,2018年8月，系外行星凌星巡天卫星（TESS）观测到了一个星系的亮度变化，在数天时间内其视星等由19等增加到了16等。这是由一颗Ia型超新星爆发所导致的亮度变化，即ASASSN-18tb。假设这个超新星的前身星和参宿四（绝对星等-5等）非常相似，这个星系又很像银河系（大约包含2000亿颗类似太阳的恒星），那么该超新星爆发后亮度大约提升了（）倍,103,108,1011,106,B,B. 108解题过程如下：首先，我们知道Ia型超新星爆发的亮度变化与ASASSN-18tb相似，而ASASSN-18tb的亮度变化为19等增加到16等。假设星系像银河系一样包含2000亿颗类似太阳的恒星，其平均星等为-0.5等。由星等与亮度关系曲线可知，-0.5等恒星亮度约为1.55等。那么，该超新星爆发前的亮度为1.55等。现在要计算超新星爆发后亮度增加了多少倍，就是1.55 / 16 = 0.09625倍，即约0.1倍。由于星系中有2000亿颗恒星，所以这个超新星爆发后，其亮度大约提升了2000亿倍 - 1 = 1000倍。根据以上计算，答案是108。
8,以下哪颗行星没有卫星,火星,土星,木星,金星,D,D. 金星
9,以下哪两个星座的天区不相邻,狮子座和小狮座,大犬座和小犬座,双鱼座和鲸鱼座,飞马座和小马座,B,D. 飞马座和小马座
10,以下哪两个星座不是相邻的,牧夫座和猎犬座,猎户座和波江座,天琴座和天鹰座,南鱼座和宝瓶座,C,A. 牧夫座和猎犬座
11,以下哪种月相出现后不久，潮汐现象最为明显,残月,上弦月,新月,下弦月,C,D. 下弦月
12,已知织女星的表面温度约9600K，太阳的色指数B-V=0.63。一颗色指数B-V=1.2的主序星，表面温度约,4300K,6000K,28000K,15000K,A,B. 6000K
13,以下哪一项表述最接近人类目前对系外行星卫星的探测情况,系外行星卫星亮度太低，人类不可能探测到,最新发射的空间探测器将有能力探测系外行星卫星,已经探测到超过1万颗系外行星卫星,系外行星卫星不存在,B,B. 最新发射的空间探测器将有能力探测系外行星卫星
14,2019年1月3日，嫦娥四号探测器成功着陆在月球背面内（）的冯·卡门撞击坑内。随后，嫦娥四号着陆器与巡视器玉兔二号顺利分离，玉兔二号抵达月球表面。这是人类首次在月球背面成功软着陆和巡视探测的航天器,南极-艾特肯盆地,金牛-利特罗峡谷,东海盆地,坚忍环形山,A,A. 南极-艾特肯盆地
15,在2017年记录到的中微子来自一个名为TXS0506+056的星系。星系中心超大质量黑洞所产生的两道喷流中有一道正好对准了地球，它会产生辐射和高能粒子，其中就包括了这次探测到的中微子和带电宇宙线。记录此次数据的是,南极冰立方中微子天文台,地中海中微子天文台,钱德拉X射线天文台,康普顿伽马射线天文台,A,A. 南极冰立方中微子天文台
16,以下哪一项不是中国传统的天文仪器,浑仪,简仪,圭表,象限仪,D,D
17,我国第一个真正意义上的空间实验室是,天舟一号,天宫二号,天宫一号,神舟十一号,B,C. 天宫一号。
18,2022年1月，由中华人民共和国国务院新闻办公室发布的《2021中国的航天》白皮书中，透露了未来中国计划开展的深空探测任务。这不包括,小行星采样返回任务,火星采样返回任务,木星系探测任务,金星采样返回任务,D,D
19,一颗红巨星的温度为2500K，半径是太阳的100倍，距离10pc，已知该红巨星在可见光波段（400nm≤λ≤700nm）的辐射能量占总光度L的3.3%，假如一个100W灯泡发出总辐射能量的5%在可见光波段，灯泡在多少的距离上，肉眼看起来和红巨星一样亮,18km,10km,1.8km,7km,B,A. 18km
20,2019年唯一的一次日全食在哪个大洲可见,南美洲,亚洲,欧洲,非洲,A,B. 亚洲。解题过程：2019年8月7日至8月21日在亚洲地区发生日全食。所以答案为B。
21,以下彗星中，2017年回归近日点的是,55P/Tempel-Tuttle,2P/Encke,9P/Tempel,C/2013US10（Catalina）,B,A. 55P/Tempel-Tuttle
22,以下梅西叶天体中与银河系最相似的是,M87,M82,M32,M31,D,C. M32
23,人类最近一次观测到银河系内的超新星爆发是在哪一年,1604,2018,1987,1054,A,D. 1054
24,小猪佩奇很喜欢玩踩泥巴的游戏，它在地球上的最高纪录是可以让泥巴飞1m高。一天，它来到了一颗材质与地球相似的陌生星球旅行，又玩起了踩泥巴的游戏。只见它用力一踩，泥巴直冲云霄，刚好飞离星球，再也没有回来。那么这颗星球的质量约为,8.5×10^{24}kg,3.6×10^{18}kg,3.7×10^{14}kg,22×10^{19}kg,C,首先，我们根据题目信息可以知道，小猪佩奇在地球上的质量为1m³。然后，由于它在这个陌生的星球上玩踩泥巴的游戏，泥巴飞出了这颗星球，我们可以推断出这个星球的引力小于地球。再根据万有引力公式 F = G(m1 * m2) / d²，其中F是两个物体之间的引力大小，G是万有引力常数，m1和m2是两个物体的质量，d是两个物体之间的距离。因为小猪佩奇在地球上的质量为1m³，所以我们可以令F = G(1m³) / R²，其中R是这颗星球与地球的距离。由于两个星球的引力之比等于它们的质量之比，我们可以得到 R³ / R1² = M1 / M2 ，其中M1是地球的质量，M2是这颗星球的质量。解这个方程，我们得到 M2 = 3.7 × 10²⁴ kg。所以，这颗星球的质量约为 3.7 × 10²⁴ kg，选项为 C. 3.7×10²⁴kg。
25,木星的卫星中体积最大的是,木卫二,木卫三,木卫一,木卫四,B,B. 木卫三。
26,如果太阳风每秒从太阳表面吹出的粒子数是n=1×10^{36}，且因为核心氢的核聚变反应，太阳的质量也在同时减少，则太阳风与核聚变的质量损失率之比最接近的是。（已知：太阳光度3.8×10^{26}W，电子质量9.1×10^{-31}kg，质子质量1.7×10^{-27}kg。）,1:50,1:5,2:50,2:5,B,首先，我们要计算太阳风每秒吹出的质子数。由于1个电子的动量与1个质子的动量之比为1:184，1个太阳的光照面积为1.9×10^8km^2，所以太阳风每秒吹出的质子数为：n' = n / (3 * 1.9×10^8) = 1.39×10^6。然后，我们计算太阳质量损失率。太阳风与核聚变的质量损失率之比为：n' : ΔM_p / (ΔM_H + ΔM_p) = 1.39×10^6 : ΔM_p / (ΔM_H + ΔM_p)。我们计算太阳的质量损失率，得：ΔM_p = (n' * 9.1×10^-31) : (n' + ΔM_H) = 3.97×10^6。太阳的质量损失率也等于核聚变的质量损失率，即：ΔM_H = ΔM_p = 3.97×10^6。所以，太阳风与核聚变的质量损失率之比为：1.39×10^6 : 3.97×10^6 = 1:3。根据选项，这个比例最接近的是选项D：2:5。
27,氢元素在宇宙中不可能存在的形态包括,H2,HII,HI,HIII,D,D. HIII。
28,几条氢吸收线的实验室静止波长分别为410nm、434nm、486nm和656nm。天文学家对一个遥远的星系进行了光谱观测，观测结果显示这些相同谱线的波长分别为492nm、521nm、583nm和787nm。请问这个星系的退行速度是多少倍光速,0.16,0.22,0.2,0.18,D,解题过程如下：根据题目中给出的信息，可以得到以下关系：1. 星际距离 = 观测波长 - 退化速度 × 实际波长2. 实际波长 = 492nm，434nm，486nm和656nm3. 退化速度 = 星际距离 / 实际波长由第1式，我们可以得到：星际距离 = 492nm - 434nm = 58nm实际波长 = 486nm - 58nm = 428nm由第1式，我们可以得到：星际距离 = 434nm - 428nm = 6nm实际波长 = 410nm - 6nm = 354nm由第1式，我们可以得到：星际距离 = 486nm - 434nm = 52nm实际波长 = 486nm - 58nm = 428nm由第1式，我们可以得到：星际距离 = 656nm - 486nm = 170nm实际波长 = 434nm - 170nm = 264nm然后，我们用每个系统的星际距离除以各自实际波长，可以得到：星际距离 / 实际波长 = 492nm / 486nm = 1.2039521nm / 520nm = 1.0282656nm / 650nm = 1.0122787nm / 780nm = 1.0079根据以上结果，可以发现这个星系的退化速度固定为 1.2039，光速的倍数为 1.2039^4 = 1.8028，即 0.09575 倍光速。这个值接近于 0.16，所以答案为 A. 0.16。
29,1000颗6等星聚集在一起的星等近似（）等,-1.5,1,-0.5,6000,A,C. -0.5
30,目前得到确认的人类最古老的天文观象台是,位于中国北京的古观象台,位于中国临汾的陶寺遗址,位于中国安阳的殷墟遗址,位于英国威尔特郡的巨石阵,C,A. 位于中国北京的古观象台。
31,假设有一个遥远且与地球等同的系外行星上有着一个与地球等同的文明，如果那里的人们想通过测量地球大气的光谱来确定地球是否存在生命，他们所观测到的光谱中与类地生命相关的最为显著的谱线来自于,自由氧离子,中性氧原子,氧气分子,臭氧分子,D,C. 氧气分子。
