0,NADH脱氢酶可以以下列哪一个辅酶或辅基为受氢体,FAD,NAD+,FMN,CoQ,C,C. FMN
1,在酶促反应中，决定反应特异性的是,辅酶,酶蛋白,无机离子,溶液PH,B,B. 酶蛋白。酶促反应中，决定反应特异性的是酶蛋白，它特定的空间结构使其成为高效准确的催化剂。
2,在脑内，NH3的主要储存和运输形式是,尿素,谷氨酰胺,天冬氨酸,丙氨酸,B,B. 谷氨酰胺
3,丙二酸对琥珀酸脱氢酶的抑制作用属于,非竞争性抑制作用,反竞争性抑制作用,非特异性抑制作用,竞争性抑制作用,D,D. 竞争性抑制作用
4,血液中的胆红素主要运输形式是,胆红素-Z蛋白,胆红素-Y蛋白,葡糖醛酸-胆红素,胆红素-清蛋白,D,C. 葡糖醛酸-胆红素
5,炎症介质的主要作用是使,组织间液渗透压增高,组织分解代谢增强,局部氢离子浓度增高,血管扩张通透性增加,D,D. 血管扩张通透性增加。炎症介质主要包括炎性细胞因子、白三烯、前列腺素等，这些物质可以刺激血管壁细胞的增殖与变态，导致血管扩张通透性增加。
6,鸟氨酸循环的重要意义是,解除氨毒,合成尿素,促进氨的转运,促进氨基酸脱氨基,A,A. 解除氨毒鸟氨酸循环（Urea cycle），又称尿素循环，是生物体内一个重要的代谢途径。它主要在肝、肾小管、及一些细菌中进行。氨在这条循环中由一分子合成三分子。因此，鸟氨酸循环的重要意义在于解除氨毒，通过合成尿素等物质来帮助排除体内多余的氨。
7,关于糖的有氧氧化，下述哪一项是错误的,葡萄糖氧化成CO2及H2O时可生成12分子ATP,有氧氧化可抑制糖酵解,三羧酸循环是三大营养物互变的途径,糖有氧氧化是细胞获得能量的主要方式,A,A
8,下列哪种维生素，参与构成转氨酶的辅酶,VitB2,VitB1,VitB12,VitB6,D,A. VitB2
9,大叶性肺炎的并发症，错误的是,肺脓肿,肺肉质变,肺褐色硬变,脓胸,C,B. 肺肉质变
10,辅酶NADP+分子中含有下列哪种B族维生素,烟酰胺,核黄素,叶酸,吡哆醛,A,A. 烟酰胺
11,关于抑癌基因的叙述，正确的是,具有抑制细胞过度增殖的作用,抑癌基因只存在于肿瘤细胞中,维持细胞的正常生长，只要抑癌基因正常表达即可,人类正常细胞中不存在抑癌基因,A,A. 具有抑制细胞过度增殖的作用
12,关于ATP的叙述，错误的是,ATP在反应中供出高能磷酸基后即变为ADP,ATP都是由呼吸链过程中经氧化磷酸化产生的,ATP是生物体的直接供能物质,ATP的化学能可转变为机械能，渗透能，电能，热能等,B,A
13,次级胆汁酸是,在肝内由初级游离胆汁酸转变生成,在肠内由初级胆汁酸转变生成,在肠内由胆固醇转变生成,在肝内由初级结合胆汁酸转变生成,B,A. 在肝内由初级游离胆汁酸转变生成。
14,有关酶活性测定与酶活性单位的描述，错误的是,一定条件下，每分钟转化1μmol底物所需的酶量为一个酶活性国际单位（IU）,每分钟使1mol底物转化为产物所需的酶量为1催量（Kat),测定酶活性大小可用单位时间内产物的生成量来表示,“单位”越大，表示酶的活性越大或酶的含量越高 C,B,D
15,生物体内ATP的生成方式有多少种,1,3,4,2,D,D. 2
16,利用药学手段阻断钠泵后，下列正确的是,阻止细胞水肿,细胞内Na移向细胞外,细胞内K 浓度升高,细胞容积增大,D,B. 细胞内Na移向细胞外
17,下列哪一种酶是脂肪酸-氧化的限速酶,脂酰辅酶A脱氢酶,肉碱脂酰转移酶Ⅱ,脂酰辅酶A合成酶,肉碱脂酰转移酶I,D,A. 脂酰辅酶A脱氢酶。
18,1分子硬脂酰辅酶A经1次β氧化后，其产物(除16碳脂酰辅酶A外的其他产物)彻底氧化可净生成多少分子ATP,12分子,9分子,14分子,5分子,C,B
19,下列物质彻底氧化生成ATP最多的是,葡糖-6-磷酸,果糖-1，6-二磷酸,甘油醛- 3-磷酸,磷酸烯醇式丙酮酸,B,D. 磷酸烯醇式丙酮酸
20,与内髓部高渗的形成有关的是,Nacl,Nacl和尿素,Nacl和KCL,K,B,A. NaCl
21,根据抑制剂与酶结合的紧密程度不同，抑制作用可以分为以下两大类,竞争性抑制和非竞争性抑制,混合性抑制和反竞争性抑制,竞争性抑制和反竞争性抑制,可逆性抑制和不可逆性抑制,D,C. 竞争性抑制和反竞争性抑制。
22,阿可匹林抑制血小板聚集，主要作用于,环氧化酶,血栓素合成酶,碳脂酶A2,凝血酶,A,B. 血栓素合成酶
23,下列对结合胆红素的说法哪一项是错误的,不易透过生物膜,与重氮试剂呈直接反应阳性,随正常人尿液大量排出,主要是双葡萄全算胆红素酯,C,D
24,间质性肺炎的主要病变特点是,间质充血水肿，单核细胞和淋巴细胞浸润,间质充血水肿，中性粒细胞浸润,间质充血水肿，淋巴细胞浸润,间质充血水肿及出血现象,A,A. 间质充血水肿，单核细胞和淋巴细胞浸润。
25,食物特殊动力作用最高的物质是,蛋白质,糖,脂肪,混合食物,A,C. 脂肪
26,下列与脂肪酸氧化无关的物质是,FAD,NADP+,CoASH,NAD+,B,C. CoASH。
27,关于化脓性炎的叙述，不正确的是,黏膜的化脓性炎又可称为脓性卡他,蜂窝织炎是指弥漫性化脓性炎,表面化脓是指发生在浆膜、黏膜的化脓性炎,痈不是多个疖的融合,D,D
28,不在线粒体内传递的电子是,CYT P450,CYT B,CYT A3,CYT C,A,B. CYT B。在线粒体内，通过线粒体DNA编码的蛋白质（如叶酸合成酶，丙酮酸氧化酶，柠檬酸循环酶等）传递电子，从而产生氧化还原反应，释放能量。CYT B蛋白质是其中一种。
29,下列哪种物质不属于类脂,糖脂,胆固醇,卵磷脂,三酰甘油,D,A
30,肝可将乳酸改造转变为下列物质，错误的是,转变为糖原贮存,转变为甘油三酯,转变为血中葡萄糖,转变为营养必需氨基酸,D,D
31,下列组织中不可能发生化生的是,神经纤维,肾盂黏膜上皮,结缔组织,鼻腔黏膜上皮,A,A. 神经纤维
32,胞质中1MOL乳酸彻底氧化为H2O跟CO2，产生ATP的摩尔数可能是,12 13,11 12,9 10,14 15,D,D. 14 15
33,有关酶蛋白或辅助因子,酶蛋白参与氢原子或电子的作用,一种酶蛋白可与多种辅助因子结合成全酶,酶蛋白或辅助因子单独存在时均有催化作用,一种酶蛋白只能与一种辅助因子,D,B. 一种酶蛋白可与多种辅助因子结合成全酶。
34,酶的特异性是指,酶催化反应的机制各不同,酶对其所催化的底物有特异的选择性,酶在细胞中的定位是特异性的,酶与辅酶特异的结合,B,B. 酶对其所催化的底物有特异的选择性。
35,生物体可以直接利用的能量物质是,ATP,磷酸肌酸,FAD,ADP,A,A. ATP
36,有关酶与温度的关系，错误的论述是,低温可降低酶的活性但不使酶破坏，温度回升时酶又恢复活性,从生物组织中提取酶时应在低温下操作,酶蛋白易变性，所以反应都应该在低温中进行,酶的最适温度与反应时间有关,C,C
37,糖原合成过程中的关键酶是,糖原合酶,分支酶,糖原磷酸化酶,己糖激酶,A,D. 己糖激酶。
38,高分化鳞癌中最典型的特征是,细胞分裂象少,出现角化珠,实质与间质分界清楚,形成癌巢,B,B. 出现角化珠。高分化鳞癌的细胞具有典型的上皮细胞特征，即细胞表面出现角化珠。
39,患下列哪项疾病时，基础代谢率明显升高,红细胞增多症,糖尿病,甲状腺功能亢进,白血病,C,C. 甲状腺功能亢进。解析：甲状腺功能亢进是一种甲状腺激素分泌过高的疾病，导致基础代谢率升高。红细胞增多症、白血病不会直接导致基础代谢率升高。而糖尿病虽然会导致激素水平升高，但那是相对应的激素，不是直接导致基础代谢率升高。
40,以下疾病中不易发生癌变的是,结肠多发性腺瘤,十二指肠溃疡,萎缩性胃炎,交界痣,B,D. 交界痣
41,下列关于酶的活性中心的论述，错误的是,与酶活性有关的必需基团在一级结构上彼此靠近，形成活性中心,活性中心以外的必须基团与维持酶的特定空间构象有关,酶分子中的各种化学基团不一定都与酶活性有关,活性中心的结合基团与底物结合形成酶-底物复合物,A,C
42,以下哪一组酶为糖酵解的关键酶,已糖激酶，果糖磷酸激酶-1，丙酮酸激酶,已糖激酶，醛缩酶，丙酮酸激酶,已糖激酶，果糖磷酸激酶-1，葡糖-6-磷酸酶,已糖激酶，果糖-1，6-二磷酸酶， 丙酮酸激酶,A,A. 已糖激酶，果糖磷酸激酶-1，丙酮酸激酶
43,非竞争性抑制剂对酶促反应速度的影响是,Km不变，Vmax下降,Km下降，Vmax上升,Km下降，Vmax下降,Km上升，Vmax不变,A,B. Km下降，Vmax上升。
44,以下生理功能活动中存在负反馈调节的是,望梅止渴的过程,血糖维持稳定的过程,生理性止血的过程,膝跳反射的过程,B,B. 血糖维持稳定的过程
45,在肌肉组织中，氨基酸脱氨基的主要方式是,嘌呤核苷酸循环,转氨基作用,氧化脱氨基作用,直接脱氨基作用,A,D. 直接脱氨基作用
46,1分子葡萄糖经磷酸戊糖途径转变为核糖-5-磷酸过程中，还可产生,2分子NADH+H+,1分子NADH+H+,2分子NADPH+H+,1分子NADPH+H+,C,A. 2分子NADH+H+。
47,在生物氧化中NAD+的作用是,递氢,脱羧,加氢,递电子,A,C. 加氢
48,漏出性出血的发生机制是由于,血管壁周围病变侵犯,毛细血管壁通透性增加,组织的渗透压增高,血浆胶体渗透压降低,B,B. 毛细血管壁通透性增加
49,磺胺类药物的类似物是,叶酸,二氢叶酸,对氨基苯甲酸,四氢叶酸,C,C. 对氨基苯甲酸
50,糖酵解过程中，下列哪一反应过程为耗能阶段,葡萄糖→果糖1，6-二磷酸,果糖-1，6-二磷酸→磷酸丙糖,丙酮酸→乳酸,磷酸丙糖→丙酮酸,A,C
51,关于风湿性肉芽肿的叙述，错误的是,多发生于心肌间质血管旁,中心部位有较多纤维蛋白,特征性细胞是 Aschoff 细胞,常伴有淋巴细胞、浆细胞浸润,B,A. 多发生于心肌间质血管旁
52,下列哪种酶是糖酵解和糖异生途径中共有的,甘油醛-3-磷酸酶,丙酮酸羧化酶,已糖激酶,丙酮酸激酶,A,A. 甘油醛-3-磷酸酶
53,全酶是指,酶-抑制剂复合物,酶蛋白-辅助因子复合物,酶-底物复合物,酶-别构剂复合物,B,C. 酶-底物复合物。
54,关于小叶性肺炎，错误的是,病灶融合为肺肉质变,可由多种细菌引起,常是某些疾病的并发症,易激发肺的细菌和病毒感染,A,A. 病灶融合为肺肉质变
55,正常人血浆中下列胆红素量很低,游离胆红素,间接胆红素,胆红素-清蛋白,结合胆红素,D,A. 游离胆红素。
56,右心衰竭时组织液生成增加而致水肿，主要原因是,组织液静水压降低,组织胶体渗透压增高,毛细血管血压增高,血浆胶体渗透压降低,C,D. 血浆胶体渗透压降低
57,颈动脉窦压力感受器反射属于,神经—体液调节,自身调节,体液调节,神经调节,D,"D. 神经调节。颈动脉窦压力感受器反射是一种通过神经元之间的连接传递信息的调节方式,属于神经调节的范畴。"
58,呼吸阻力中非弹性阻力的主要成分是,气道阻力,组织粘滞阻力,肺回缩力,肺泡表面张力,A,A. 气道阻力
59,甘油-3-磷酸穿梭机制中3-磷酸甘油脱氢酶在胞质中的辅酶是,FAD,NAD+,COQ,FMN,B,D. FMN
60,关于PH酶促反应速度影响的论述，错误的是,PH过高或过低可使酶发生变性,最适PH是酶的特性常数,最适PH不是酶的特性常数,PH影响酶、底物或辅助因子的解离度，从而影响酶促反应速度,B,A
61,下列哪种离子能激活唾液淀粉酶的活性,Zn2+,Mg2+,K+,CL-,D,A. Zn2+。
62,酶与一般催化剂的区别是,只能加速热力学上可以进行的反应,不改变化学反应的平衡点,具有高度特异性,缩短达到化学平衡的时间,C,C. 具有高度特异性
63,有机磷农药中毒时，下列哪一种酶受到抑制,已糖激酶,胆碱酯酶,乳酸脱氢酶,碳酸酐酶,B,B. 胆碱酯酶
64,关于胆碱酯酶的描述不正确的是,可受有机磷化合物抑制,是催化乙酰胆碱水解的酶,属典型的巯基酶,该酶失活，可造成乙酰胆碱在体内过多堆积而中毒,C,C. 属典型的巯基酶
65,磷酸戊糖途径的主要产物是,NADPH+H+和FADH2,NADPH+H+和核糖-5-磷酸,NADPH+H+和甘油-3-磷酸,NADPH+H+和葡糖-6-磷酸,B,D. NADPH+H+和葡糖-6-磷酸
66,冈崎片段产生的原因是,复制与解链方向相反,双向复制,复制中DNA有缠绕打结现象,DNA复制速度太快,A,C. 复制中DNA有缠绕打结现象
67,高血压病时，细小动脉硬化的主要病理改变是,内膜结缔组织增生,内膜胆固醇沉着,管壁玻璃样变,内膜弹力纤维增生,C,C. 管壁玻璃样变
68,抑制动脉粥样硬化症发病的因素是,极低密度脂蛋白,胆固醇,低密度脂蛋白,高密度脂蛋白,D,D. 高密度脂蛋白
69,关于糖酵解的正确描述是,在细胞质中进行,生成38分子ATP,全过程是可逆的,不消耗ATP,A,A
70,有机磷杀虫剂对胆碱酯酶的抑制作用属于,反竞争性抑制作用,非竞争性抑制作用,不可逆性抑制作用,竞争性抑制作用,C,D. 竞争性抑制作用
71,符合辅酶的叙述是,不能用透析与酶蛋白分开,参与氢原子、电子或化学基团的传递,决定酶的特异性,不参与活性部位的组成,B,A. 不能用透析与酶蛋白分开。
72,有关原发性高血压的叙述，错误的是,高血压晚期的肾脏常为颗粒性固缩肾,高血压可继发糖尿病,高血压病常引起左心室肥大,高血压常引起下肢坏疽,B,D
73,反竞争性抑制作用的描述正确的是,抑制剂既与酶相结合又与酶-底物复合物相结合,抑制剂使酶促反应的Km值降低，Vmax升高,抑制剂只与酶-底物复合物结合,抑制剂使酶促反应的Km值升高，Vmax降低,C,D. 抑制剂使酶促反应的Km值升高，Vmax降低
74,酶与一般催化剂具有以下共性，例外的是,不能改变反应平衡点,降低反应活化能,反应前后自身没有质与量的改变,由特定构想的活性中心发挥作用,D,C
75,葡糖-6-磷酸→葡萄糖酸-6-磷酸，需要参与的辅酶是,FMN,NAD+,NADP+,FAD,C,A. FMN
76,1分子乙酰辅酶A经三羧酸循环氧化可产生ATP分子数,9,15,11,10,D,B
77,下列物质在体内氧化成CO2及H2O时生成ATP最多的是,乳酸,丙酮酸,谷氨酸,草酰乙酸,C,B. 丙酮酸。
78,关于前馈控制的叙述中，正确的是,常在局部和短时间内发挥作用,具有滞后和波动的缺点,具有预见性，适应范围大,前馈控制不会发生失误,C,A. 常在局部和短时间内发挥作用
79,饥饿时肝中哪个代谢途径加强,糖异生,脂肪的合成,糖酵解,糖有氧氧化,A,C. 糖酵解。当人体饥饿时，体内糖类摄入不足，此时肝脏会加强糖酵解的途径，通过分解葡萄糖产生能量以维持生命活动。
80,1分子软脂酸彻底氧化分解，净产生多少分子ATP,127,128,106,131,C,C. 106。分子软脂酸彻底氧化分解的化学方程式为C18H36O2+236O2->11 CO2+22 H2O。根据化学方程式，可以知道，每分子软脂酸彻底氧化分解产生11分子CO2和22分子H2O。而每分子H2O产生1分子ATP，每分子CO2不产生ATP。因此，1分子软脂酸彻底氧化分解净产生11+22-0=106分子ATP。
81,干性坏疽与湿性坏疽的区别在于前者,全身中毒症状严重,与正常组织分界清楚,静脉回流通畅,好发生于四肢末端,C,D. 好发生于四肢末端
82,亚急性细菌性心内膜炎的赘生物脱落后最常见的栓塞部位是,脾,皮肤,脑,肾,C,C. 脑
83,胰岛素降低血糖是多方面的综合作用效果，但不包括,抑制糖原的分解,加强糖原的合成,加强脂肪动员,加速糖的有氧氧化,C,D
84,三羧酸循环的起始反应是,乙酰辅酶A与二氧化碳缩合,乙酰辅酶A与草酰乙酸缩合,丙酮酸与草酰乙酸缩合,丙酮酸与二氧化碳缩合,B,B. 乙酰辅酶A与草酰乙酸缩合
85,温度对酶促反应速度影响的论述，正确的是,最适温度是酶的特性常数，与反应时间无关,温度升高反应速度加快，与一般催化剂完全相同,低温可使大多数酶发生变性而使酶活性降低,最适温度不是酶的特性常数，延长反应时间，其最适温度降低,D,C. 低温可使大多数酶发生变性而使酶活性降低。
86,液化性坏死常见于,脑,肾脏,小肠,心脏,A,B. 肾脏。
87,下列哪项情况下可以发生代谢性酸中毒,低血钾,肾小管NH生成过多,醛固酮分泌过少,通气过度,C,D. 通气过度
88,浦肯野纤维细胞和心室肌细胞动作电位的区别主要是,4期自动除极有无,1期形成机制不同,3期复极速度不同,平台期持续时间相差较大,A,A. 4期自动除极有无。
89,动脉粥样硬化复合病变中最危险的并发症是,血栓的形成,钙化,斑块内出血,动脉瘤的形成,D,"C. 斑块内出血斑块内出血是指动脉粥样硬化斑块内部出现出血, 这是一个危险的并发症, 可能会导致血管阻塞, 甚至引发心脏病发"
