0,"在二分类问题中，当测试集的正例和负例数量不均衡时，以下评价方案哪个是相对不合理的（假设precision=TP/(TP+FP),recall=TP/(TP+FN)。）",F-值:2recallprecision/(recall+precision),G-mean:sqrt(precision*recall),准确性:(TP+TN)/all,AUC:ROC曲线下面积,C,C. 准确性:(TP+TN)/all
1,深度学习中遇见过拟合下列哪个处理办法不可取 ,加dropout层,加深层数,数据增强,加正则项,B,B. 加深层数
2,假设我们有一个数据集，在一个深度为 6 的决策树的帮助下，它可以使用 100% 的精确度被训练。现在考虑一下两点，并基于这两点选择正确的选项。1.深度为 4 时将有高偏差和低方差；2.深度为 4 时将有低偏差和低方差。注意：所有其他超参数是相同的，所有其他因子不受影响。,1 和 2,只有 2,没有一个,只有 1,D,B. 只有 2在深度为4时，模型将具有低偏差和低方差。增加深度会增加模型拟合拟合数据的能力，但也会增加过拟合的风险。在深度为4时，模型可以完美地拟合训练数据，因此方差较低。但是，由于数据是有限的，模型可能无法完全拟合数据，因此可能会有一些偏见。只有2个选项是正确的。
3,下列哪些方法不可以用来对高维数据进行降维,LASSO,Bagging,主成分分析法,聚类分析,B,D
4,机器学习中L1正则化和L2正则化的区别是 ,使用L1可以得到稀疏、平滑的权值,使用L2可以得到稀疏、平滑的权值,使用L1可以得到稀疏的权值、使用L2可以得到平滑的权值,使用L2可以得到稀疏的权值、使用L1可以得到平滑的权值,C,C. 使用L1可以得到稀疏的权值、使用L2可以得到平滑的权值
5,下列关于隐马模型和条件随机场模型的说法中错误的是? ,隐马模型和隐马模型隐可用于命名实体识别、分词和词性标注的任务,隐马模型和隐马模型都是生成模型,隐马模型不是概率无向图模型,特征的选取和优化会严重影响隐马模型的结果,B,A. 隐马模型和隐马模型隐可用于命名实体识别、分词和词性标注的任务B. 隐马模型和隐马模型都是生成模型C. 隐马模型不是概率无向图模型D. 特征的选取和优化会严重影响隐马模型的结果
6,下面哪个/些超参数的增加可能会造成随机森林数据过拟合,学习速率,树的数量,树的深度,以上都不是,C,A. 学习速率 B. 树的数量 C. 树的深度 D. 以上都不是
7,下面关于迭代二叉树3代算法中说法错误的是,迭代二叉树3代算法是一个二叉树模型,信息增益可以用熵，而不是GINI系数来计算,迭代二叉树3代算法要求特征必须离散化,选取信息增益最大的特征，作为树的根节点,A,A. 迭代二叉树3代算法是一个二叉树模型B. 信息增益可以用熵，而不是GINI系数来计算C. 迭代二叉树3代算法要求特征必须离散化D. 选取信息增益最大的特征，作为树的根节点答案是：A
8,下面哪个/些选项对 K 折交叉验证的描述是正确的,如果 K=N，那么其称为留一交叉验证，其中 N 为验证集中的样本数量,更大的 K 值相比于小 K 值将对交叉验证结构有更高的信心,以上都是,增大 K 将导致交叉验证结果时需要更多的时间,C,C. 以上都是D. 增大 K 将需要更多的时间K 折交叉验证 (K-fold Cross-Validation) 是评估模型性能的一种方法，通过将数据集分成 K 个部分（子集），每次使用其中一个部分作为验证集，其它的部分作为训练集，重复 K 次，得到 K 个结果。选项 A 的描述是正确的。对于选项 B，总的来说，较大的 K 值可以提供更稳定和可靠的评估，因为它们减少了模型过度拟合的风险，从而提供了对模型在未知数据上的泛化能力的更准确评估。但并不是说交叉验证结构有更高的信心，而是通过 K 折交叉验证评估的结果更有信心。选项 D 是正确的，因为增大 K 意味着需要更多的数据来计算每个折的验证集和验证结果，因此计算和预测的时间也会相应增加。
9,已知有m个样本，进行n（n<=m）次采样。bootstrap数据是什么意思？,无放回地从总共N个样本中抽样n个样本,无放回地从总共M个特征中抽样m个特征,有放回地从总共N个样本中抽样n个样本,有放回地从总共M个特征中抽样m个特征,C,A. 无放回地从总共N个样本中抽样n个样本。 Bootstrap sampling 是一种有放回的样本抽样方法，其通过每次从总体中无放回地抽取样本，然后重复该过程多次来获得样本集合。在 Bootstrap 采样中，每个样本都可以作为后续样本的母本，所以总共需要进行n次采样。
10,如果以特征向量的相关系数作为模式相似性测度，则影响聚类算法结果的主要因素有,量纲,已知类别样本质量,以上都不是,分类准则,D,C. 以上都不是。特征向量的相关系数只是用于计算两个向量之间的相似性。它不会受到量纲和分类准则的影响。但是，样本质量对聚类算法的结果有很大的影响。如果样本质量较低，聚类算法可能会产生不稳定的结果或错误聚类。
11,模型训练过程中，我们一般将数据分成 ,验证集,测试集,训练集,其他选项均可,D,C. 训练集
12,你正在使用带有 L1 正则化的 logistic 回归做二分类，其中 C 是正则化参数，w1 和 w2 是 x1 和 x2 的系数。当你把 C 值从 0 增加至非常大的值时，下面哪个选项是正确的,第一个 w1 成了 0，接着 w2 也成了 0,w1 和 w2 同时成了 0,第一个 w2 成了 0，接着 w1 也成了 0,即使在 C 成为大值之后，w1 和 w2 都不能成 0,D,D. 即使在 C 成为大值之后，w1 和 w2 都不能成 0解析：L1 正则化中，加权和向量的 L1 范数等于每个元素范数之和，即 |w1| + |w2|。当 C 值增加时，为了使人和扎误分类正确，一个系数必须变小，另一个系数必须变大，或者一个系数变小，另一个系数变大，总之两者之一，不会同时变小。所以，即使 C 值变得非常大，w1 和 w2 都不能同时变为 0。
13,下列方法中，不可以用于特征降维的方法包括,深度学习SparseAutoEncoder,矩阵奇异值分解SVD,线性判别分析,主成分分析,A,"C. 线性判别分析。线性判别分析（Linear Discriminant Analysis, LDA）是一种分类方法，它并不用于特征降维。LDA主要用于降维的目的是通过减少特征数来减少计算量，加速模型训练和预测，而不是用于特征降维。其他选项A、B和D都是可以用于特征降维的方法。"
14,贝叶斯定理求得是什么概率? ,先验概率,其它选项都不是,条件概率,联合概率,C,B. 其它选项都不是贝叶斯定理是用于计算后验概率的定理，在机器学习中常用于模式识别和统计学习。
15,在机器学习中，解释学习器泛化性能中经常用到偏差-方差分解，下列说法不正确的是 ,方差体现的是学习器预测的稳定性,偏差体现的是学习器预测的准确度,泛化性能是由学习算法的能力、数据的充分性以及学习任务本身的难度所共同决定的,方差指的是预测的期望值与真实值的偏差,D,D
16,假如你用logistic Regression 算法去预测电脑销量，当你在新的测试集上验证你的假设时，发现预测值有很大的偏差，并且你的假设在训练集上表现也很差，下面那些步骤你应该避免采纳,尝试着减小正则项 λ,尝试增加交叉特征,增大样本量,尝试更小的测试集或者特征,D,C. 增大样本量
17,以P(w)表示词条w的概率，假设已知P（南京）=0.8，P（市长）=0.6，P（江大桥）=0.4：P（南京市）=0.3，P（长江大桥）=0.5：如果假设前后两个词的出现是独立的，那么分词结果就是,南京_市长_江大桥,南京市_长江_大桥,南京市长_江大桥,南京市_长江大桥,A,C. 南京市长_江大桥
18,对数几率回归（logistics regression）和一般回归分析有什么区别,对数几率回归是设计用来预测事件可能性的,对数几率回归可以用来估计回归系数,以上都是,对数几率回归可以用来度量模型拟合程度,C,C. 以上都是
19,下面哪些对「类型 1（Type-1）」和「类型 2（Type-2）」错误的描述是错误的,类型 1 错误通常在其是正确的情况下拒绝假设而出现,类型 1 通常称之为假正类，类型 2 通常称之为假负类,以上都是,类型 2 通常称之为假正类，类型 1 通常称之为假负类,D,D. 类型 2 通常称之为假正类，类型 1 通常称之为假负类
20,影响基本K-均值算法的主要因素有,初始类中心的选取,聚类准则,样本输入顺序,模式相似性测度,D,A. 初始类中心的选取
21,高斯混合模型(GMM)是一种什么模型,无监督学习模型,其他选项都不是,半监督学习模型,有监督学习模型,A,B. 其他选项都不是
22,基于语法规则的方法为,条件随机场,最大熵模型,句法、语义分析,最大熵隐马尔科夫模型,B,C. 句法、语义分析。
23,"有两个样本点，第一个点为正样本,它的特征向量是(0,-1);第二个点为负样本,它的特征向量是(2,3),从这两个样本点组成的训练集构建一个线性SVM分类器的分类面方程是",2x-y=0,x+2y=5,x+2y=3,2x+y=4,C,A. 2x-y=0
24,隐马尔可夫模型，设其观察值空间为 状态空间为 如果用维特比算法(Viterbi algorithm)进行解码，时间复杂度为,O(NK),O(N^2K),以上都不是,O(NK^2),C,D. O(NK^2)
25,假定你使用了一个很大γ值的RBF核，这意味着：,模型不会被点到超平面的距离所影响,以上都不是,模型仅使用接近超平面的点来建模,模型将考虑使用远离超平面的点建模,C,D. 模型将考虑使用远离超平面的点建模。
26,关于 ARMA (auto regressive moving average model)（自回归滑动平均模型）、 AR (auto regressive model)（自回归模型）、 MA（滑动平均模型） 模型的功率谱，下列说法正确的是,AR模型在零点接近单位圆时，AR谱是一个尖峰,MA模型是同一个全通滤波器产生的,MA模型在极点接近单位圆时，MA谱是一个深谷,RMA谱既有尖峰又有深谷,D,C. MA模型在极点接近单位圆时，MA谱是一个深谷。
27,变量选择是用来选择最好的判别器子集， 如果要考虑模型效率，我们应该做除了下列哪项的变量选择的考虑,交叉验证,变量对于模型的解释有多大作用,特征携带的信息,多个变量其实有相同的用处,B,D. 多个变量其实有相同的用处
28,"下列时间序列模型中,哪一个模型可以较好地拟合波动性的分析和预测",auto regressive model AR模型,自回归滑动平均模型,滑动平均模型,广义自回归滑动平均模型,D,A. AR模型。
29,"当我们构造线性模型时, 我们注意变量间的相关性. 在相关矩阵中搜索相关系数时, 如果我们发现3对变量的相关系数是(Var1 和Var2, Var2和Var3, Var3和Var1)是-0.98, 0.45, 1.23 . 我们可以得出什么结论",以上都是,"因为Var1和Var2是非常相关的, 我们可以去除其中一个",Var1和Var2是非常相关的,Var3和Var1的1.23相关系数是不可能的,A,C. Var1和Var2是非常相关的。
30,机器学习中做特征选择时，可能用到的方法有,以上都有,卡方,信息增益,期望交叉熵,A,A. 以上都有特征选择方法包括: 奇偶性、卡方、信息增益、期望交叉熵和基于动画的方法。故选项A是正确的。
31,LSTM与GRU的一个主要区别在于GRU将LSTM的哪几个gate融合了,forget gate和input gate, input gate和output gate,forget gate和output gate,output gate和reset gate,A,A. forget gate和input gate。
32,符号集 a 、 b 、 c 、 d ，它们相互独立，相应概率为 1/2 、 1/4 、 1/8/ 、 1/16 ，其中包含信息量最小的符号是,d,b,a,c,C,A. d
33,假设你使用 log-loss 函数作为评估标准。下面这些选项，哪些是对作为评估标准的 log-loss 的正确解释,以上都是,log-loss 越低，模型越好,对一个特别的观察而言，分类器为正确的类别分配非常小的概率，然后对 log-loss 的相应分布会非常大,如果一个分类器对不正确的分类很自信，log-loss 会严重的批评它,A,B. log-loss 越低，模型越好解释：log-loss（对数损失）是用于度量分类错误情况的指标。越少的log-loss意味着分类器为错误类别分配了更大的概率。因此，log-loss 越低，模型预测正确的类别概率越大，模型表现越好。
34,"已知一组数据的协方差矩阵P,下面关于主分量说法错误的是",主分量分析就是K-L变换,"在经主分量分解后,协方差矩阵成为对角矩阵","主分量分析的最佳准则是对一组数据进行按一组正交基分解, 在只取相同数量分量的条件下,以均方误差计算截尾误差最小",主分量是通过求协方差矩阵的特征值得到,A,A
35,下列关于attention机制的说法错误的是,attention机制会给序列中的元素分配一个权重系数,attention机制可以用于机器阅读理解、问答对话等场景中,传统encoder-decoder模型存在长距离依赖问题,attention机制的变体，多头attention机制不适合并行，其每一步计算依赖于上一步的计算结果,D,D
36,以下哪项不是降低过拟合的方法,收集更多训练数据,进行数据清洗，减少噪声,增加神经网络隐藏层节点数,简化模型假设,C,C. 增加神经网络隐藏层节点数
37,"给定三个变量 X，Y，Z。(X, Y)、(Y, Z) 和 (X, Z) 的 Pearson 相关性系数分别为 C1、C2 和 C3。现在 X 的所有值加 2（即 X+2），Y 的全部值减 2（即 Y-2），Z 保持不变。那么运算之后的 (X, Y)、(Y, Z) 和 (X, Z) 相关性系数分别为 D1、D2 和 D3。现在试问 D1、D2、D3 和 C1、C2、C3 之间的关系是什么","D1 = C1, D2 < C2, D3 < C3","D1= C1, D2 < C2, D3 > C3","D1 = C1, D2 = C2, D3 = C3","D1 = C1, D2 > C2, D3 > C3",C,"A. D1 = C1, D2 < C2, D3 < C3"
38,在决策树中，用作分裂节点的information gain说法不正确的是,信息增益更加倾向于选择有较多取值的属性,信息增益可以使用熵得到,较小不纯度的节点需要更多的信息来区分总体,以上均不是,C,A. 信息增益更加倾向于选择有较多取值的属性
