0,成组资料方差分析中，若 $S S_{组内}>S S_{组间}$，则,尚不能作结论,$M S_{组间}<S S_{组内}$,$M S_{组间}>S S_{组内}$,$M S_{组间}=S S_{组内}$,A,A. 尚不能作结论
1,某厂男职工 370 人，女职工 456 人，慢性苯中毒人数男女分别为 8 和 10 人，（456/370）×100%为,平均率,率,相对比,构成比,C,A. 平均率
2,以下关于t分布不正确的是,t分布曲线是一条曲线,在相同自由度时，|t|值越大，概率P越小,在相同t值时，双尾概率P为单尾概率P的两倍,t分布的极限分布是标准正态分布,A,C. 在相同t值时，双尾概率P为单尾概率P的两倍
3,在进行Wilcoxon配对法秩和检验时，以下何种检验假设是正确的,H_0:差值的总体中位数为0,H_0:两样本对应总体的中位数相同,H_0:两样本均数相同,H_0:两样本对应的总体分布相同,A,C. H_0:两样本均数相同。
4,概率P的范围,O≤P≤1,O<P<1,-1≤P≤1,P>1,A,A. O≤P≤1
5,设有X、Y两组数据，求得$\hat{y}=a+bx$，经统计学检验，在$\alpha=0.05$水平上拒绝$H_0: \beta=0$，则至少有95%的把握断言y与x之间在专业上有直线关系。这一结论,根据充分,很有科学性,略有问题,脱离实际,D,A. 根据充分
6,在$x^2$检验中，自由度的计算为,$n-1$,$(R-1)\times(C-1)$,$n$,$R\times C$,B,正确答案的选项是D. $R\times C$。
7,为观察药物$A、B$对某病治愈率的差异有无显著性意义，某医生将100例该病患者随机分成两组，其中一组40人，服用A药;另一组60人，服用B药。结果发现，服用$\mathrm{A}$药的人中有30人治愈;服用B药的人中有11人治愈。应选用的统计学方法是:,回归分析,加权$\chi^2$检验,Kappa检验,$\chi^2$检验,D,D. $\chi^2$检验
8,若假设检验结果为 $|\mathrm{t}| \geqslant t_{0.05(v)}$，则说明,差异由抽样误差所致的概率大于 0.05,差异由抽样误差所致的概率等于或小于 0.05,差异是由于本质上有所不同所致的概率等于或小于 0.05,差异由抽样误差所致的概率等于或大于 0.05,B,D. 差异由抽样误差所致的概率等于或大于 0.05
9,在以下检验方法中，不属于非参数统计方法(),$\mathrm{T}$检验,$\mathrm{t}$检验,$\mathrm{H}$检验,$\chi^2$检验,B,C. $\mathrm{H}$检验
10,统计推断的内容是(),用样本指标估计相应总体指标,检验统计上的“假设”,$\mathrm{A}，\mathrm{B}$均是,A，B均不是,C,统计推断是统计学中一个重要的内容，它包括两个部分：用样本指标估计相应总体指标和检验统计上的“假设”。A选项：用样本指标估计相应总体指标，这是统计推断的一部分。B选项：检验统计上的“假设”，这也是统计推断的一部分。C选项：A，B均是，这是正确的答案。D选项：A，B均不是，这是错误的答案。因此，正确答案是C。
11,四格表的自由度,等于样本含量减1,一定等于1,等于行数$\times$列数,不一定等于1,B,D. 不一定等于1. 自由度是指列联表或卡方表中独立列的数量，它取决于列联表或卡方表的构造方式。在四格表中，自由度不一定等于1。当列联表或卡方表中没有列是独立时，自由度为0；当所有列都是独立的时，自由度为列数-1。
12,对两个数值变量同时进行了相关和回归分析， $r$ 有统计学意义 $(P<0.05)$，则,不能确定 $\mathrm{b}$ 有无统计学意义。,b 无统计学意义,b 有统计学意义,$b$ 有高度的统计学意义。,C,"C. b 有统计学意义. 回归分析中,$r$ 的p值表示了自变量与因变量之间的相关性是否具有统计学意义。若p值小于0.05，则可以认为$r$ 的统计学意义存在。而相关分析中，相关系数$r$的取值范围在-1至1之间，若$r$的绝对值大于1，则认为$r$具有统计学意义。由此可以推知，若对两个数值变量同时进行了相关和回归分析，$r$ 有统计学意义，那么b，即回归系数，也有统计学意义。"
13,间接标准化法计算标化发病率是：,SMR×标准人口总数,SIR×标准人口发病率,SIR×标准人口总数,SMR×标准人口死亡率,B,C. SIR×标准人口总数。
14,作四格表 $\mathrm{x}^2$ 检验时，需进行连续性矫正的条件是,$T>5$ 且 $n>40$,$\mathrm{T}<1$ 或 $\mathrm{n}<40$,$1<T<5$ 且 $n>40$,$b+c<40$,C,B. $\mathrm{T}<1$ 或 $\mathrm{n}<40$
15,统计学上的系统误差、测量误差、抽样误差在实际工作中:,系统误差和抽样误差不可避免,均不可避免,测量误差和抽样误差不可避免,系统误差和测量误差不可避免,C,C. 测量误差和抽样误差不可避免。系统误差也称为随机误差，是由于测量过程中的一些不可避免的因素引起的，例如测量设备的不准确、测量人员的技能水平等。因此，系统误差在实际工作中是难以避免的。测量误差是指测量结果与真实值之间的差异，这种差异可能是由于测量方法、测量环境、测量设备等因素造成的。测量误差在实际工作中也是难以避免的。抽样误差是指从总体中抽取样本进行统计推断时，由于样本的随机性而使得推断结果与真实值之间的差异。抽样误差是抽样过程中不可避免的。因此，测量误差和抽样误差在实际工作中都是难以避免的，答案为C。
16,甲乙两人分别从随机数字表抽得 30 个 (各取两位数字) 随机数字作为两个样本，求得 $\overline{X_1}， S_1^2， \overline{X_2}， S_2^2$，则理论上,$\overline{X_1}=\overline{X_2}， S_1^2=S_2^2$,分别由甲、乙两样本求出的总体均数的 $95 \%$ 可信区间，很可能有重叠,作两方差齐性的 $\mathrm{F}$ 检验，必然方差齐,作两样本均数的 $\mathrm{t}$ 检验，必然得出无差别的结论,B,无法确定答案，因为题目没有给出足够的信息。
17,用 6. $5 \mathrm{~Gy}$ 不均匀照射狗，照射后早期动物呕吐发生例数如下。要了解三组呕吐发生率之间的差异是否有显著性意义，应选用什么统计分析方法?,$\chi^2$ 检验,Fisher 精确检验,回归分析,方差分析,A,A. $\chi^2$ 检验
18,统计工作的关键步骤是:,审核资料,收集资料,调查或实验设计,整理分组,C,C. 调查或实验设计
19,两小样本数值变量资料比较的假设检验，首先应考虑,用秩和检验,用u检验,资料符合秩和检验还是t检验的条件,用t检验,C,C. 资料符合秩和检验还是t检验的条件。两小样本数值变量资料比较的假设检验，首先应考虑样本量大小，如果满足样本量满足大于等于30的假设，那么满足方差齐性的t检验条件，否则应使用秩和检验。如果样本量不满足方差齐性的假设检验条件，那么使用U检验。
20,求得y倚x变化的直线回归方程后，必须对回归方程作显著性检验，其目的是为了对()作出统计推断。,总体斜率,样本斜率,总体均数,样本均数,A,A. 总体斜率
21,按随机方法抽取的样本特点是:,能消除抽样误差,能减少样本偏性,能消除随机测量误差,能消除系统误差,B,D. 能消除系统误差
22,某医院的资料，计算了各种疾病所占的比例，该指标为：,构成比,相对比,标化发病率,发病率,A,A. 构成比
23,如果对简单线性回归模型进行显著性检验的结果是不能拒绝$H_0$，这就意味着,该模型无应用价值,该模型求错了,X与Y之间毫无关系,该模型有应用价值,D,D. 该模型有应用价值。
