0,一个做匀速直线运动的物体，突然受到一个与运动方向不在同一直线上的恒力作用时，那么物体的运动为,一定做曲线运动,可能做直线运动，也可能做曲线运动,继续做直线运动,运动的形式不能确定,A,D. 运动的形式不能确定。当物体受到一个与运动方向不在同一直线上的恒力作用时，根据牛顿第二定律，物体将受到一个加在物体上的力。物体原有的运动轨迹是由惯性决定的，因此物体的运动形式不能确定。
1,以下说法正确的选项是,把1Kg的物体匀速举高1m，举力做功为1J,力对物体不做功，说明物体没有位移,把重1N的物体匀速举高1m，克服重力做功为1J,力对物体做功越多，说明物体所受的力越大,C,C. 把重1N的物体匀速举高1m，克服重力做功为1J
2,关于电压与电动势的说法中正确的是,电动势是反映电源把其他形式的能转化为电能本领强弱的物理量,电动势公式中E=W/q中的W与电压U=W/q中的W是一样的，都是电场力做的功,电动势就是两板间的电压,电压与电动势的单位都是伏特，所以电压与电动势是同一个物理量的不同叫法,A,A. 电动势是反映电源把其他形式的能转化为电能本领强弱的物理量
3,产生感生电场的根源是：,均匀磁场,变化磁场,非均匀磁场,稳恒电场,B,B. 变化磁场
4,关于物体做曲线运动，下列说法正确的是：,物体做曲线运动时所受的合外力一定是变力,物体所受的合外力不为零时一定做曲线运动,物体在恒力的作用下不能做曲线运动,物体做曲线运动时所受的合外力一定不为零,D,D. 物体做曲线运动时所受的合外力一定不为零。
5,关于热量、温度、内能之间的关系，下列说法正确的是,物体温度升高，内能一定增加,物体温度升高，一定吸收了热量,物体温度不变，一定没有吸收热量,物体吸收热量，温度一走升高,A,D. 物体吸收热量，温度一定升高。
6,关于核能的获得，下列说法中正确的是,核电站是使核能转化为内能再通过汽轮发电机转化为电能的装置,目前，在核电站的反应堆中发生的是可控制的核聚变,当原子核内部发生变化时会释放岀巨大的能量，核裂变和核聚变是获得核能的两种方式,核反应堆是原子核裂变时，在极短时间内释放出大量核能的装置,A,C. 当原子核内部发生变化时会释放传出巨大的能量，核裂变和核聚变是获得核能的两种方式D. 核反应堆是原子核裂变时，在极短时间内释放出大量核能的装置
7,下列关于简谐振动的说法中，错误的是,简谐振动是振动的最基本形式,作简谐振动的物体，加速度和位移成反比,简谐振动的物体，所受合外力方向始终指向平衡位置,做简谐振动的物体，加速度方向与位移方向相反,B,A
8,宇航员在围绕地球做匀速圆周运动的航天飞机中，处于完全失重状态，那么以下说法中正确的选项是,宇航员不受重力作用,宇航员只受重力的作用,宇航员受到平衡力的作用,宇航员所受的重力产生向心加速度,D,C. 宇航员受到平衡力的作用解释：即使处于失重状态，宇航员仍然受到重力作用，但这个重力与其他力相互平衡，所以宇航员还受到支持力、磁场力、大气层阻力等作用。这些力之间存在平衡，所以宇航员处于平衡状态。
9,关于电动势E，下列说法中正确的是,电动势E的大小，与非静电力功W的大小成正比，与移送电荷量q的大小成反比,电动势E是表征电源把其他形式的能转化为电能本领的物理量,电动势E是由电源本身决定的，跟电源的体积和外电路均有关,电动势E的单位与电势、电势差的单位都是伏特，故三者本质上一样,B,B. 电动势E是表征电源把其他形式的能转化为电能本领的物理量。
10,下列关于重力的说法正确的是,在地球周围的物体都要受到重力作用，与其运动状态无关,对某一物体而言，重力的大小是一个恒量，不随物体的地理位置而改变,重力就是地球对物体的吸引力，重力的方向总是竖直向下,在地球表面各处的重力方向都是相同的,A,正确答案是 D. 在地球表面各处的重力方向都是相同的。
