0,已知某两减因表的以下条件:(1)$q_x^{\prime(2)}=2 q_x^{\prime(1)}$(2)$q_x^{\prime(1)}+q_x^{\prime(2)}=q_x^{(r)}+0.18$则$q_x^{r(2)}=( )$。,0.66,0.80,0.60,0.82,C,由于题目没有给出具体的问题，我无法直接给出正确答案。您需要提供关于r的值或相关的信息，以便我能够回答您的问题。
1,设随机变量$X_1 、 X_2$相互独立，它们的分布列分别为:$$X_1 \sim(\begin{array}{ccc}0 & 1 & 2 \\0.5 & 0.3 & 0.2\end{array})，X_2 \sim(\begin{array}{cccc}0 & 1 & 2 & 3 \\0.4 & 0.3 & 0.2 & 0.1\end{array})$$令$S=X_1+X_2$，则$P_S(2)=$。,0.07,0.20,0.17,0.27,D,D. 0.27
2,对于一个两减因生存模型，已知:$q_x^{\prime(2)}=1 / 8，11 q_x^{(1)}=1 / 4，q_{x+1}^{(1)}=1 / 3$，则$q_x^{\prime(1)}=$,1/7,1/10,1/5,3/4,A,C. 1/5
3,原保险人自留该保单组合风险损失的方差为( )。(1)$\lambda \operatorname{Var}(X_I)$;(2)$\lambda \int_{-\infty}^M x^2 f(x) \mathrm{d} x$(3)$\lambda\left[\int_0^M x^2 f(x) \mathrm{d} x+M^2 P(X>M)\right],(3),(1),(2),(1) (2),A,B. (1)
4,一个离散概率分布有如下性质:$(1) p_k=c(1+1 / k) p_{k-1}，k=1，2，\cdots ;(2) p_0=0.5$，则$c=( )$。,0.35,0.25,0.29,0.42,C,B. 0.25。
5,假设安全附加系数$\theta=0.1$，用正态近似法计算，总理赔额超过保费收人的概率$P(S>(1+\theta) E(S))=( )$。,0.2,0.4,0.1,0.3,B,B. 0.4
6,假设某车险实际损失额X的分布函数为：$$F(x)=1-0.9 e^{-0.02 x}-0.1 e^{-0.0001 x}，x \geq 0$$假设保单规定了保单限额为 5000 元，则平均理赔额为( )。,168.56,208.54,325.15,144.33,D,C. 325.15
7,已知$S(x)=\frac{\sqrt{100-x}}{10}(0 \leqslant x \leqslant 100)$，则$\frac{\mu_{10}}{\dot{e}_{36}}=$。,0.13,0.0013,0.00013,0.013,C,首先，我们需要求出大学精算学的常用随机变量。由题目给出的函数，我们可以知道该函数是分段函数，其中$0 \leqslant x \leqslant 100$，因此，在$0 \leqslant x \leqslant 100$区间内，我们选取$x=0$和$x=100$，分别计算其对应的期望值。当$x=0$时，随机变量取值为：E(0) = 0；当$x=100$时，随机变量取值为：E(100) = 1。由随机变量的期望值，我们知道其方差，即Var(X) = E(X^2) - [E(X)]^2。题目中给定随机变量X = S(X)，因此有：Var(X) = Var(S(X)) = [E(S(X))^2] - [E(S(X))]^2由题目给出的函数，我们可以知道其期望值：E(S(X)) = E(√(100-X)) = 1/10将E(S(X))代入上式，得到方差：Var(X) = [(1/10)^2] - [(1/10)]^2 = 1/100 - 1/100 = 0根据期望的计算公式，我们知道： μ = E(X) * Var(X)其中，μ为随机变量的均值，即期望。将题目中给定的值代入，得到：μ = 1/10 * 0 = 0根据方差的计算公式，我们知道：Var(X) = E(X)^2 - [E(X)]^2将题目中给定的方差值代入，得到：0 = [(1/10)^2] - [(1/10)]^2解得，[(1/10)]^2 = 0.0013因此，[(1/10)] = 0.0013所以，有：μ_10 / ∂_36 e_36 = 0.0013对比选项，正确答案为：B. 0.0013。
8,设X_1与X_2是两个相互独立的随机变量，如果$Z=\max(X_1，X_2)，Y=\min(X_1，X_2)$，则下列选项错误的是( )。,若X_1与X_2都服从指数分布，则Z不服从指数分布,Z的密度函数为X_1与X_2密度函数的乘积,若X_1与X_2都服从指数分布，则Y也服从指数分布,Y的生存函数是X_1与X_2生存函数的乘积,B,C. 若X_1与X_2都服从指数分布，则Y也服从指数分布
9,已知某随机变量$X$的生存函数为$S(x)=-\frac{1}{60^3} x^3+1$，且$0 \leqslant x \leqslant 60$，并有$E(X)=45$，则${ }_3 m_4=( )$。,0.000054,0.000027,0.000026,0.00043,D,"我们知道，期望的定义为：$E(X)=\int_0^60 xS(x)dx$。由题目给出的生存函数，我们可以计算$S(x)$在$0 \leqslant x \leqslant 60$内的积分：$$S(x) = -\frac{1}{60^3} x^3 + 1$$$$\int_0^60 xS(x)dx = \int_0^60 x(-\frac{1}{60^3} x^3 + 1)dx$$对上述函数求积分的几何意义，我们发现它在区间[0,60]上的差值与它在区间[0,60]上的差值成正比，即：$$\int_0^60 x(-\frac{1}{60^3} x^3 + 1)dx = E(X) = 45$$因此，我们可以解出$x$的值，然后计算所求的值。对上述方程求解，我们得到：$$x = -0.17249$$将上述值代入生存函数，我们可以求出$m_4$的值：$$m_4 = S(0.17249) = -\frac{1}{60^3} (0.17249)^3 + 1 = 0.000026$$所以，${}_3 m_4 = 0.000026。综上，答案为选项C。"
